Documents,ISBN,Title,Author,Year Pub,Req-Rec   
0,9780307741806,STORY OF THE HUMAN BODY,LIEBERMAN,2014,REQ,
0,9780134734408,ECONOMICS OF MONEY, BANKING AND FINANCIAL MARKETS, THE,MISHKIN,N/A,REQ,
0,9780500842447,ARCHAEOLOGY: THEORIES, METHODS, AND PRACTICE (EIGHTH EDITION),RENFREW,N/A,REQ,
0,9781260394696,ESSEN OF CORPORATE FINANCE (CONNECT ACCESS),ROSS,N/A,REQ,
0,9781101873465,WHO WE ARE & HOW WE GOT HERE,REICH,2019,REQ,
0,9780385483995,IN SMALL THINGS FORGOTTEN (EXP & REV),DEETZ,1996,REQ,
0,9781429290197,PHYSICAL CHEMISTRY,ATKINS,2014,REQ,
0,9780134448046,INTRODUCTION TO ECONOMETRICS (SUBSCRIPTION),STOCK,N/A,REQ,
0,9780300214468,AHLAN WA SAHLAN LETTERS & SOUNDS OF ARABIC LANGUAGE (WBK),ALOSHA,2000,REQ,
0,9780393904062,STRATEGY: AN INTRODUCTION TO GAME THEORY (THIRD EDITION),WATSON,N/A,REQ,
0,9781119642824,OPERATING SYSTEM CONCEPTS,SILBERSCHATZ,2019,REQ,
0,9781259731709,DISCRETE MATHEMATICS AND ITS APPLICATIONS,ROSEN,N/A,CHC,
0,9780134113593,CHEMISTRY: MOLECULAR APPROACH (LOOSE PGS)(W/OUT ACCESS),TRO,2017,CHC,
0,9781259731709,DISCRETE MATHEMATICS AND ITS APPLICATIONS,ROSEN,N/A,CHC,
0,9780071462099,EASY ARABIC SCRIPT,WIGHTWICK,2006,REQ,
0,9780134066325,CHEMISTRY,TRO,N/A,CHC,
0,9780134078809,PRIN OF MACROECONOMICS,CASE,2017,REQ,
0,9781259715204,INVESTMENTS (LOOSE PGS),BODIE,2018,CHC,
0,9781260004731,INTERNATIONAL ECONOMICS (RRMCG),PUGEL,2020,REQ,
0,9780134066325,CHEMISTRY,TRO,N/A,CHC,
0,9781986588638,RED RECORD,WELLS BARNETT,N/A,REQ,
0,9780393903799,ECONOMICS OF DEVELOPMENT (SEVENTH EDITION),BLOCK,N/A,REQ,
0,9781560254461,12 MILLION BLACK VOICES,WRIGHT,2002,REQ,
0,9780679767084,NO DISRESPECT,SOULJAH,1994,REQ,
0,9781307225143,FINANCIAL ACCOUNTING W/CONNECT,ANDERSON,N/A,REQ,
0,9780134113593,CHEMISTRY: MOLECULAR APPROACH (LOOSE PGS)(W/OUT ACCESS),TRO,2017,CHC,
0,9781400052189,IMMORTAL LIFE OF HENRIETTA LACKS,SKLOOT,2010,REQ,
0,9781607746621,WHAT COLOR IS YOUR PARACHUTE? 2016,BOLLES,2015,REQ,
0,9781259357480,INVESTMENTS,BODIE,N/A,CHC,
0,9781259354311,MANAGERIAL ECONOMICS & BUSINESS STRATEGY,BAYE,N/A,REQ,
0,9780134113593,CHEMISTRY: MOLECULAR APPROACH (LOOSE PGS)(W/OUT ACCESS),TRO,2017,CHC,
0,9781259357480,INVESTMENTS,BODIE,N/A,CHC,
0,9781259354311,MANAGERIAL ECONOMICS & BUSINESS STRATEGY,BAYE,N/A,REQ,
0,9781260484052,INTERNATIONAL ECONOMICS,PUGEL,N/A,REQ,
0,9780486805634,VOICE FROM THE SOUTH,COOPER,2016,REQ,
0,9780134448046,INTRODUCTION TO ECONOMETRICS (SUBSCRIPTION),STOCK,N/A,REQ,
0,9780134066325,CHEMISTRY,TRO,N/A,CHC,
0,9780307740915,HOME,MORRISON,2012,REQ,
0,9780134061115,PRINCIPLES OF MACROECONOMICS,CASE,N/A,REQ,
0,9781259357480,INVESTMENTS,BODIE,N/A,CHC,
0,9780395901496,STREET,PETRY,1974,REQ,
1,9780813918433,I, TOO, AM AMERICAN,SINGLETON,1999,REC,
1,9781610916073,MARKETS AND THE ENVIRONMENT,KEOHANE,N/A,REQ,
0,9780500843208,ARCHAEOLOGY W/EBOOK & INQUIZITIVE,RENFREW,2019,REQ,
1,9781610390934,POOR ECONOMICS,BANERJEE,2012,REQ,
0,9780134066325,CHEMISTRY,TRO,N/A,CHC,
0,9780134448046,INTRODUCTION TO ECONOMETRICS (SUBSCRIPTION),STOCK,N/A,REQ,
1,9780134461991,INTRO TO ECONOMETRICS,STOCK,2019,REQ,
0,9781307225143,FINANCIAL ACCOUNTING W/CONNECT,ANDERSON,N/A,REQ,
0,9780323392068,THOMPSON & THOMPSON GENETICS IN MEDICINE E-BOOK,WILLARD,N/A,REQ,
