Class,ISBN,Title,Author,Year Pub,Req-Rec,Documents,AVA/AVD/AVE,URL,Link   
 AAAS/WGS 136A 1,9780822362722,SPILL,GUMBS,2016,REQ,1,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9780822362722
 AAAS/WGS 136A 1,9781849352604,EMERGENT STRATEGY,BROWN,2017,REQ,1,AVE,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9781849352604
 AAAS 145B 1,9780143120322,MALCOLM X,MARABLE,2011,REQ,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9780143120322
 AAAS 145B 1,9780345350688,AUTOBIOGRAPHY OF MALCOLM X,MALCOLM X,1965,REQ,1,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9780345350688
 AAAS 145B 1,9780816675869,BLACK STAR CRESCENT MOON,DAULATZAI,2012,REQ,3,AVE,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9780816675869
 AAS/AAPI 129B 1,9780807009772,FREEDOM DREAMS,KELLEY,2002,REQ,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9780807009772
 AMST 121A 1,9780253209863,RACHEL CALOF'S STORY,CALOF,1995,REQ,1,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9780253209863
 AMST 121A 1,9780374529963,FIERCE ATTACHMENTS,GORNICK,2005,REQ,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9780374529963
 AMST 121A 1,9780805211665,EMMA LAZARUS,SCHOR,2017,REQ,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9780805211665
 AMST 121A 1,9780822361664,BEYOND THE WHITENESS OF WHITENESS,LAZARRE,2016,REQ,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9780822361664
 AMST 121A 1,9780996972628,FINDING MR. RIGHTSTEIN,DAVIDOFF KELTON,2016,REQ,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9780996972628
 AMST 121A 1,9781466819009,FIERCE ATTACHMENTS,GORNICK,N/A,REQ,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9781466819009
 AAAS/WGS 136A 1,9781555976903,CITIZEN,RANKINE,2014,REQ,1,AVD,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9781555976903
 AMST 121A 1,9781510760059,SAME RIVER TWICE,MANDEL,2020,REQ,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9781510760059
 AMST 121A 1,9781580050951,FLYING CAMEL,KHAZZOOM,2003,REQ,1,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9781580050951
 AMST 121A 1,9781580059169,BECOMING EVE,STEIN,2019,REQ,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9781580059169
 AAAS/WGS 136A 1,9781400033430,SULA,MORRISON,2004,REQ,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9781400033430
 AMST 135A 1,9780714859040,NATURE OF PHOTOGRAPHS,SHORE,2010,REQ,1,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9780714859040
 AMST 121A 1,9781501145254,MY OWN WORDS,GINSBURG,2016,REQ,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9781501145254
